Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_1,81,2,1,0,0,0,82,0,82,19.090,1,1,6.767,55.496,0,0.287,0.589,0.000,0.205,0.205,3.066,4.398,2.402,3.049,0.410
Track_2,99,1,1,0,0,0,99,0,99,23.526,2,2,33.443,51.314,0,0.296,0.625,0.011,0.209,0.214,3.361,4.271,2.523,3.360,0.405
Track_3,99,1,1,0,0,0,99,0,99,22.491,3,3,42.088,51.188,0,0.292,0.554,0.002,0.456,0.214,5.974,6.786,4.840,5.985,0.420
Track_4,94,2,2,0,0,0,96,0,96,12.189,4,4,51.317,44.655,0,0.284,0.591,0.020,0.186,0.204,3.864,5.486,2.284,3.816,0.670
Track_5,99,1,1,0,0,0,99,0,99,23.809,5,5,35.364,58.254,0,0.291,0.558,0.010,0.444,0.208,3.864,4.913,2.798,3.845,0.435
Track_6,99,1,1,0,0,0,99,0,99,20.826,6,6,23.758,44.920,0,0.303,0.561,0.012,0.397,0.203,3.380,4.124,2.377,3.410,0.409
Track_7,99,1,1,0,0,0,99,0,99,21.830,7,7,10.249,43.993,0,0.274,0.549,0.005,0.155,0.208,5.425,6.369,4.386,5.454,0.436
Track_9,97,2,2,0,0,0,99,0,99,25.084,9,9,19.669,57.678,0,0.304,0.596,0.023,0.438,0.208,3.545,5.148,2.043,3.481,0.480
Track_10,63,1,1,0,0,0,63,0,63,13.305,10,10,33.882,60.657,0,0.272,0.625,0.035,0.170,0.212,3.454,5.264,2.365,3.421,0.495
Track_12,52,2,2,0,0,0,54,0,54,12.037,12,12,5.480,58.958,0,0.264,0.668,0.000,0.138,0.210,3.963,5.431,3.059,3.964,0.462
Track_16,69,1,1,0,0,0,69,0,69,14.391,16,16,6.922,2.909,0,0.275,0.805,0.028,0.173,0.209,3.401,4.731,2.389,3.393,0.444
Track_17,98,1,1,0,0,0,98,0,98,18.562,17,17,12.468,6.991,0,0.309,0.599,0.011,0.438,0.204,4.156,5.158,3.209,4.153,0.393
Track_20,67,1,1,0,0,0,67,0,67,13.909,20,20,49.121,6.209,0,0.272,0.573,0.030,0.176,0.204,3.637,4.701,2.241,3.613,0.467
Track_21,52,3,1,0,0,0,54,0,54,12.366,21,21,46.236,14.328,0,0.278,0.600,0.010,0.218,0.196,2.951,4.295,2.304,2.861,0.406
Track_22,99,1,1,0,0,0,99,0,99,23.817,22,22,44.166,12.731,0,0.329,0.567,0.014,0.461,0.200,4.213,6.600,2.831,4.184,0.516
Track_23,79,1,1,0,0,0,79,0,79,20.574,23,23,19.579,4.226,0,0.348,0.617,0.020,0.476,0.205,5.391,8.112,3.367,5.318,0.587
Track_25,99,1,1,0,0,0,99,0,99,14.632,25,25,49.675,16.183,0,0.326,0.588,0.009,0.460,0.207,4.747,7.286,3.248,4.762,0.652
Track_26,61,2,2,0,0,0,63,0,63,13.338,26,26,62.786,18.949,0,0.296,0.788,0.000,0.369,0.217,4.955,7.603,4.073,4.883,0.560
Track_28,99,1,1,0,0,0,99,0,99,25.141,28,28,54.865,12.814,0,0.319,0.600,0.024,0.449,0.208,3.480,4.305,2.144,3.510,0.438
Track_29,99,1,1,0,0,0,99,0,99,24.412,29,29,14.388,34.229,0,0.299,0.559,0.001,0.452,0.207,5.814,7.178,4.897,5.815,0.418
Track_31,52,1,1,0,0,0,52,0,52,17.315,31,31,6.919,30.434,0,0.359,0.592,0.008,0.475,0.206,3.745,4.708,2.990,3.754,0.381
Track_32,97,3,1,0,0,0,99,0,99,12.285,32,32,59.606,26.962,0,0.294,0.587,0.019,0.225,0.211,4.312,9.355,3.263,4.201,0.843
Track_35,99,1,1,0,0,0,99,0,99,23.640,35,35,14.250,41.280,0,0.307,0.565,0.025,0.419,0.208,3.868,5.016,2.851,3.869,0.404
Track_37,99,1,1,0,0,0,99,0,99,24.758,37,37,16.902,38.560,0,0.312,0.574,0.013,0.422,0.197,3.714,4.687,2.841,3.705,0.403
Track_38,98,2,1,0,0,0,99,0,99,24.882,38,38,28.722,43.224,0,0.306,0.555,0.009,0.467,0.213,4.880,5.923,4.032,4.882,0.403
Track_39,99,1,1,0,0,0,99,0,99,24.609,39,39,15.852,28.291,0,0.288,0.563,0.011,0.182,0.212,5.941,6.867,5.221,5.926,0.396
Track_40,99,1,1,0,0,0,99,0,99,24.675,40,40,45.777,32.923,0,0.304,0.596,0.004,0.439,0.204,3.815,4.902,2.686,3.805,0.430
Track_41,99,1,1,0,0,0,99,0,99,26.200,41,41,23.230,53.462,0,0.317,0.567,0.009,0.466,0.209,5.897,7.053,4.892,5.903,0.420
Track_42,99,1,1,0,0,0,99,0,99,22.147,42,42,14.967,30.590,0,0.287,0.605,0.004,0.208,0.211,4.450,5.524,3.282,4.457,0.401
Track_43,99,1,1,0,0,0,99,0,99,22.388,43,43,46.037,52.057,0,0.287,0.577,0.008,0.190,0.211,5.475,6.642,3.887,5.510,0.431
Track_44,90,1,1,0,0,0,90,0,90,11.323,44,44,61.328,37.817,0,0.310,0.632,0.011,0.402,0.206,4.298,6.933,2.781,4.258,0.756
Track_46,85,3,1,0,0,0,87,1,88,22.602,46,46,35.088,13.540,0,0.308,0.672,0.006,0.419,0.211,2.775,3.800,2.041,2.752,0.353
Track_47,97,0,0,0,0,0,96,3,99,23.252,47,47,15.546,30.736,0,0.297,0.619,0.025,0.419,0.208,5.519,6.311,4.715,5.551,0.375
Track_49,97,0,0,0,0,0,96,3,99,26.720,49,49,39.818,26.184,0,0.346,0.608,0.023,0.471,0.202,3.310,5.169,2.284,3.283,0.465
Track_50,76,0,0,0,0,0,75,3,78,17.541,50,50,50.899,8.279,0,0.300,0.625,0.014,0.438,0.215,4.512,5.844,3.703,4.524,0.375
Track_51,81,1,1,0,0,0,81,3,84,19.015,51,51,59.381,58.639,0,0.284,0.629,0.019,0.157,0.216,2.966,3.875,2.129,2.902,0.392
Track_67,82,0,0,0,0,0,81,18,99,16.019,67,67,42.659,54.231,0,0.253,0.626,0.006,0.125,0.215,3.162,3.996,2.134,3.131,0.411
Track_68,80,1,1,0,0,0,80,19,99,15.952,68,68,12.132,62.934,0,0.278,0.611,0.007,0.196,0.203,3.646,6.603,2.202,3.611,0.661
Track_70,51,2,1,0,0,0,52,24,76,8.695,70,70,37.281,57.189,0,0.243,0.636,0.008,0.144,0.197,2.748,3.830,2.013,2.674,0.416
Track_77,70,0,0,0,0,0,69,30,99,15.467,77,77,10.662,52.589,0,0.277,0.587,0.003,0.156,0.210,3.638,4.691,2.570,3.663,0.411
Track_83,64,0,0,0,0,0,63,36,99,14.535,83,83,44.597,10.043,0,0.299,0.605,0.013,0.181,0.215,4.457,5.229,3.356,4.457,0.374
