 	X	Y
1	14.500	12.500
2	15.500	12.500
3	15.500	12.500
4	13.500	12.500
5	14.500	13.500
6	13.500	13.500
7	14.500	13.500
8	13.500	14.500
9	13.500	14.500
10	14.500	14.500
11	14.500	13.500
12	14.500	12.500
13	14.500	12.500
14	13.500	12.500
15	13.500	12.500
16	13.500	12.500
17	13.500	13.500
18	13.500	13.500
19	13.500	13.500
20	14.500	14.500
21	13.500	14.500
22	13.500	14.500
23	13.500	13.500
24	13.500	13.500
25	13.500	13.500
26	12.500	12.500
27	12.500	12.500
28	11.500	11.500
29	12.500	12.500
30	13.500	12.500
31	13.500	11.500
32	13.500	11.500
33	14.500	11.500
34	13.500	11.500
35	13.500	11.500
36	13.500	11.500
37	13.500	10.500
38	12.500	11.500
39	11.500	11.500
40	10.500	12.500
41	9.500	13.500
42	9.500	12.500
43	9.500	13.500
44	10.500	12.500
45	9.500	13.500
46	9.500	12.500
47	10.500	12.500
48	11.500	13.500
49	11.500	13.500
50	11.500	13.500
51	12.500	13.500
52	13.500	13.500
53	13.500	13.500
54	14.500	13.500
55	13.500	12.500
56	14.500	13.500
57	13.500	12.500
58	13.500	11.500
59	13.500	11.500
60	14.500	10.500
61	14.500	10.500
62	14.500	9.500
63	14.500	10.500
64	14.500	10.500
65	13.500	10.500
66	12.500	9.500
67	11.500	10.500
68	10.500	10.500
69	11.500	9.500
70	11.500	9.500
71	11.500	10.500
72	10.500	11.500
73	11.500	11.500
74	11.500	10.500
75	11.500	9.500
76	11.500	10.500
77	10.500	10.500
78	10.500	10.500
79	11.500	11.500
80	10.500	11.500
81	11.500	10.500
82	11.500	10.500
83	11.500	10.500
84	11.500	10.500
85	11.500	10.500
86	11.500	10.500
87	12.500	10.500
88	12.500	11.500
89	12.500	11.500
90	12.500	12.500
91	13.500	12.500
92	12.500	12.500
93	13.500	12.500
94	12.500	12.500
95	12.500	13.500
96	12.500	12.500
97	12.500	12.500
98	12.500	12.500
99	12.500	11.500
100	12.500	11.500
